"2011-07-28" 424
"2011-07-29" 536
"2011-07-30" 800
"2011-07-31" 1007
"2011-08-01" 788
"2011-08-02" 661
"2011-08-03" 910
"2011-08-04" 1168
"2011-08-05" 1614
"2011-08-06" 1620
"2011-08-07" 573
"2011-08-08" 945
"2011-08-09" 971
"2011-08-10" 1060
"2011-08-11" 1426
"2011-08-12" 1485
"2011-08-13" 1742
"2011-08-14" 1078
"2011-08-15" 146
"2011-08-16" 1020
"2011-08-17" 1495
"2011-08-18" 1473
"2011-08-19" 1114
"2011-08-20" 1631
"2011-08-21" 1444
"2011-08-22" 1384
"2011-08-23" 1561
"2011-08-24" 1560
"2011-08-25" 1153
"2011-08-26" 1494
"2011-08-27" 664
"2011-08-28" 40
"2011-08-29" 1462
"2011-08-30" 1497
"2011-08-31" 1435
"2011-09-02" 1416
"2011-09-03" 1478
"2011-09-04" 1605
"2011-09-05" 1627
"2011-09-06" 546
"2011-09-07" 374
"2011-09-08" 682
"2011-09-09" 1435
"2011-09-10" 1685
"2011-09-11" 1799
"2011-09-12" 1442
"2011-09-13" 1512
"2011-09-14" 1435
"2011-09-15" 1347
"2011-09-16" 1627
"2011-09-17" 1464
"2011-09-18" 1325
"2011-09-19" 1470
"2011-09-20" 1137
"2011-09-21" 1613
"2011-09-22" 1158
"2011-09-23" 965
"2011-09-24" 1271
"2011-09-25" 1390
"2011-09-26" 1584
"2011-09-27" 1686
"2011-09-28" 1631
"2011-09-29" 948
"2011-09-30" 1729
"2011-10-01" 1051
"2011-10-02" 1026
"2011-10-03" 1253
"2011-10-04" 1010
"2011-10-05" 1314
"2011-10-06" 1279
"2011-10-07" 1619
"2011-10-08" 1873
"2011-10-09" 2125
"2011-10-10" 1812
"2011-10-11" 1625
"2011-10-12" 1394
"2011-10-13" 606
"2011-10-14" 780
"2011-10-15" 1418
"2011-10-16" 1381
"2011-10-17" 1426
"2011-10-18" 1459
"2011-10-19" 440
"2011-10-20" 1258
"2011-10-21" 1627
"2011-10-22" 1498
"2011-10-23" 1205
"2011-10-24" 1286
"2011-10-25" 1293
"2011-10-26" 853
"2011-10-27" 212
"2011-10-28" 989
"2011-10-29" 311
"2011-10-30" 217
"2011-10-31" 967
"2011-11-01" 1102
"2011-11-02" 1104
"2011-11-03" 1173
"2011-11-04" 1107
"2011-11-05" 800
"2011-11-06" 854
"2011-11-07" 1248
"2011-11-08" 1356
"2011-11-09" 1421
"2011-11-10" 649
"2011-11-11" 940
"2011-11-12" 906
"2011-11-13" 887
"2011-11-14" 1141
"2011-11-15" 1271
"2011-11-16" 655
"2011-11-17" 739
"2011-11-18" 896
"2011-11-19" 680
"2011-11-20" 998
"2011-11-21" 889
"2011-11-22" 811
"2011-11-23" 207
"2011-11-24" 236
"2011-11-25" 495
"2011-11-26" 580
"2011-11-27" 447
"2011-11-28" 611
"2011-11-29" 544
"2011-11-30" 362
"2012-03-13" 1
"2012-03-15" 348
"2012-03-16" 284
"2012-03-17" 496
"2012-03-18" 1068
"2012-03-19" 679
"2012-03-20" 866
"2012-03-21" 1136
"2012-03-22" 1371
"2012-03-23" 1572
"2012-03-24" 1057
"2012-03-25" 485
"2012-03-26" 765
"2012-03-27" 796
"2012-03-28" 840
"2012-03-29" 921
"2012-03-30" 1118
"2012-03-31" 643
"2012-04-01" 778
"2012-04-02" 1002
"2012-04-03" 1350
"2012-04-04" 1428
"2012-04-05" 1356
"2012-04-06" 1427
"2012-04-07" 1009
"2012-04-08" 838
"2012-04-09" 1233
"2012-04-10" 1524
"2012-04-11" 1460
"2012-04-12" 926
"2012-04-13" 1710
"2012-04-14" 2298
"2012-04-15" 2243
"2012-04-16" 2030
"2012-04-17" 1978
"2012-04-18" 1637
"2012-04-19" 1974
"2012-04-20" 2028
"2012-04-21" 2169
"2012-04-22" 512
"2012-04-23" 707
"2012-04-24" 1549
"2012-04-25" 1627
"2012-04-26" 1642
"2012-04-27" 1454
"2012-04-28" 1374
"2012-04-29" 1524
"2012-04-30" 1703
"2012-05-01" 507
"2012-05-02" 1529
"2012-05-03" 1214
"2012-05-04" 1482
"2012-05-05" 1401
"2012-05-06" 1269
"2012-05-07" 1862
"2012-05-08" 857
"2012-05-09" 1024
"2012-05-10" 1220
"2012-05-11" 1961
"2012-05-12" 2188
"2012-05-13" 1823
"2012-05-14" 1423
"2012-05-15" 1356
"2012-05-16" 1463
"2012-05-17" 2297
"2012-05-18" 2399
"2012-05-19" 2136
"2012-05-20" 2262
"2012-05-21" 1612
"2012-05-22" 629
"2012-05-23" 2042
"2012-05-24" 2103
"2012-05-25" 2180
"2012-05-26" 2070
